PUBLICATION DATE,FISCAL YEAR,MONTH,REVENUES/EXPENDITURES,DESCRIPTION,AMOUNT
20200928,2021,July,Revenues,General Property Taxes,14130
20200928,2021,July,Revenues,Other Taxes,1446
20200928,2021,July,Revenues,Miscellaneous Revenues,694
20200928,2021,July,Revenues,Unrestricted Intgvt.  Aid,0
20200928,2021,July,Revenues,Intra-City Revenue,-2
20200928,2021,July,Revenues,Disallowances,0
20200928,2021,July,Revenues,Other Categorical Grants,2
20200928,2021,July,Revenues,Inter-Fund Revenues,0
20200928,2021,July,Revenues,Federal Categorical Grants,66
20200928,2021,July,Revenues,State Categorical Grants,2
20200928,2021,July,Expenditures,Personal Service,2096
20200928,2021,July,Expenditures,Other Than Personal Service,11307
20200928,2021,July,Expenditures,Debt Service,837
20200928,2021,July,Expenditures,Capital Stabilization Reserve,0
20200928,2021,July,Expenditures,General Reserve,0
20200928,2021,July,Expenditures,Intra-City Expenses,-2
20200928,2021,August,Revenues,General Property Taxes,106
20200928,2021,August,Revenues,Other Taxes,1189
20200928,2021,August,Revenues,Miscellaneous Revenues,436
20200928,2021,August,Revenues,Unrestricted Intgvt.  Aid,0
20200928,2021,August,Revenues,Intra-City Revenue,-21
20200928,2021,August,Revenues,Disallowances,0
20200928,2021,August,Revenues,Other Categorical Grants,116
20200928,2021,August,Revenues,Inter-Fund Revenues,0
20200928,2021,August,Revenues,Federal Categorical Grants,137
20200928,2021,August,Revenues,State Categorical Grants,22
20200928,2021,August,Expenditures,Personal Service,3267
20200928,2021,August,Expenditures,Other Than Personal Service,4398
20200928,2021,August,Expenditures,Debt Service,100
20200928,2021,August,Expenditures,Capital Stabilization Reserve,0
20200928,2021,August,Expenditures,General Reserve,0
20200928,2021,August,Expenditures,Intra-City Expenses,-21
20200928,2021,September,Revenues,General Property Taxes,1372
20200928,2021,September,Revenues,Other Taxes,2853
20200928,2021,September,Revenues,Miscellaneous Revenues,475
20200928,2021,September,Revenues,Unrestricted Intgvt.  Aid,0
20200928,2021,September,Revenues,Intra-City Revenue,-50
20200928,2021,September,Revenues,Disallowances,0
20200928,2021,September,Revenues,Other Categorical Grants,97
20200928,2021,September,Revenues,Inter-Fund Revenues,47
20200928,2021,September,Revenues,Federal Categorical Grants,347
20200928,2021,September,Revenues,State Categorical Grants,822
20200928,2021,September,Expenditures,Personal Service,3644
20200928,2021,September,Expenditures,Other Than Personal Service,2186
20200928,2021,September,Expenditures,Debt Service,275
20200928,2021,September,Expenditures,Capital Stabilization Reserve,0
20200928,2021,September,Expenditures,General Reserve,0
20200928,2021,September,Expenditures,Intra-City Expenses,-50
20200928,2021,October,Revenues,General Property Taxes,885
20200928,2021,October,Revenues,Other Taxes,1805
20200928,2021,October,Revenues,Miscellaneous Revenues,684
20200928,2021,October,Revenues,Unrestricted Intgvt.  Aid,0
